organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
,zaaksysteem.avres.nl,3.66.182.8,"zaaksysteem.avres.nl,www.zaaksysteem.avres.nl",2022-11-16T00:00:00,2023-12-17T23:59:59,16509,"AMAZON-02, US",US,arin,2017-12-20,2000-05-04,CN=zaaksysteem.avres.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",zaaksysteem.avres.nl
,zaaksysteemacceptatie.avres.nl,3.66.182.8,"zaaksysteemacceptatie.avres.nl,www.zaaksysteemacceptatie.avres.nl",2022-11-17T00:00:00,2023-12-18T23:59:59,16509,"AMAZON-02, US",US,arin,2017-12-20,2000-05-04,CN=zaaksysteemacceptatie.avres.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",zaaksysteemacceptatie.avres.nl
,www.talentcenter.hollandcasinoloopbaanportaal.nl,195.86.59.126,"www.talentcenter.hollandcasinoloopbaanportaal.nl,talentcenter.hollandcasinoloopbaanportaal.nl",2022-11-18T15:03:22,2023-12-20T15:03:21,3257,"GTT-BACKBONE GTT, US",US,ripencc,1996-08-14,1994-09-30,CN=www.talentcenter.hollandcasinoloopbaanportaal.nl,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",www.talentcenter.hollandcasinoloopbaanportaal.nl
,mijn.wijkbijduurstede.nl,3.66.182.8,mijn.wijkbijduurstede.nl,2022-11-23T00:00:00,2023-12-24T23:59:59,16509,"AMAZON-02, US",US,arin,2017-12-20,2000-05-04,CN=mijn.wijkbijduurstede.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",mijn.wijkbijduurstede.nl
,conf.hollandcasino.nl,145.222.214.148,"conf.hollandcasino.nl,conf1.hollandcasino.nl",2022-11-24T15:28:02,2023-12-26T15:28:01,21286,"KPN-CORPORATE-MARKET, NL",NL,ripencc,2002-10-09,2001-10-16,CN=conf.hollandcasino.nl,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",conf.hollandcasino.nl
,sip.hollandcasino.nl,145.222.214.144,"sip.hollandcasino.nl,sip1.hollandcasino.nl",2022-11-24T15:28:46,2023-12-26T15:28:45,21286,"KPN-CORPORATE-MARKET, NL",NL,ripencc,2002-10-09,2001-10-16,CN=sip.hollandcasino.nl,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",sip.hollandcasino.nl
,acceptatie.zaaksysteem.bbsuo.nl,3.66.182.8,acceptatie.zaaksysteem.bbsuo.nl,2022-11-28T00:00:00,2023-12-29T23:59:59,16509,"AMAZON-02, US",US,arin,2017-12-20,2000-05-04,CN=acceptatie.zaaksysteem.bbsuo.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",acceptatie.zaaksysteem.bbsuo.nl
,zaaksysteem.bbsuo.nl,3.66.182.8,zaaksysteem.bbsuo.nl,2022-11-28T00:00:00,2023-12-29T23:59:59,16509,"AMAZON-02, US",US,arin,2017-12-20,2000-05-04,CN=zaaksysteem.bbsuo.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",zaaksysteem.bbsuo.nl
,www.eemsdelta.nl,185.135.12.24,"www.eemsdelta.nl,eemsdelta.nl",2022-11-30T09:19:57,2024-01-01T09:19:56,34762,"COMBELL-AS, BE",BE,ripencc,2016-01-19,2005-03-31,CN=www.eemsdelta.nl,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",www.eemsdelta.nl
Achmea Interne Diensten N.V.,login-select2.metropensioenfonds.nl,13.248.206.174,login-select2.metropensioenfonds.nl,2022-11-25T14:35:02,2023-11-25T14:29:00,16509,"AMAZON-02, US",US,arin,2018-07-11,2000-05-04,"CN=login-select2.metropensioenfonds.nl,O=Achmea Interne Diensten N.V.,L=Zeist,ST=Utrecht,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",login-select2.metropensioenfonds.nl
Achmea Interne Diensten N.V.,login-select2.alliancepensioenen.nl,13.248.206.174,login-select2.alliancepensioenen.nl,2022-11-25T14:35:16,2023-11-25T14:30:00,16509,"AMAZON-02, US",US,arin,2018-07-11,2000-05-04,"CN=login-select2.alliancepensioenen.nl,O=Achmea Interne Diensten N.V.,L=Zeist,ST=Utrecht,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",login-select2.alliancepensioenen.nl
Alexander Monro Institute B.V.,mijn.alexandermonro.nl,77.222.78.230,mijn.alexandermonro.nl,2022-11-07T08:50:31,2023-11-07T08:50:31,47886,"EQUINIX-NL-ASN, NL",NL,ripencc,2007-04-10,2008-09-11,"CN=mijn.alexandermonro.nl,O=Alexander Monro Institute B.V.,L=Bilthoven,ST=Utrecht,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",mijn.alexandermonro.nl
Algemene Rekenkamer,coronarekening.rekenkamer.nl,147.181.11.67,coronarekening.rekenkamer.nl,2022-06-21T12:04:18,2023-06-21T12:08:00,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=coronarekening.rekenkamer.nl,O=Algemene Rekenkamer,L=Den Haag,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",coronarekening.rekenkamer.nl
Autoriteit Consument en Markt,auth.acm.nl,87.215.38.92,"auth.acm.nl,auth.services.acm.nl",2022-11-29T07:49:47,2023-11-29T07:44:00,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2005-06-02,2000-03-27,"CN=auth.acm.nl,O=Autoriteit Consument en Markt,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",auth.acm.nl
Bedrijfsvoeringseenheid Bommelerwaard,zaaksysteem-accept.maasdriel.nl,3.66.182.8,zaaksysteem-accept.maasdriel.nl,2022-11-17T00:00:00,2023-11-16T23:59:59,16509,"AMAZON-02, US",US,arin,2017-12-20,2000-05-04,"CN=zaaksysteem-accept.maasdriel.nl,O=Bedrijfsvoeringseenheid Bommelerwaard,L=Zaltbommel,ST=Gelderland,C=NL","CN=Trust Provider B.V. TLS RSA EV CA G2,O=Trust Provider B.V.,C=NL",zaaksysteem-accept.maasdriel.nl
CAK,activesync.hetcak.nl,185.125.41.7,"activesync.hetcak.nl,webmail.hetcak.nl,autodiscover.hetcak.nl",2022-11-08T11:01:58,2023-11-08T10:56:00,203740,"CAK, NL",NL,ripencc,2015-11-06,2015-11-10,"CN=activesync.hetcak.nl,O=CAK,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",activesync.hetcak.nl
